name,tags,time,host,unit,value
L2A,,1600762631498,13318,amperes,145
L2A,,1600762666755,13318,amperes,146
L2A,,1600762667988,11029,amperes,123.65238189697266
L2A,,1600762669304,11030,amperes,105.73074340820312
L2A,,1600762671512,13318,amperes,149
L2A,,1600762673111,11029,amperes,122.98625183105469
L2A,,1600762674615,11030,amperes,105.1407699584961
L2A,,1600762676722,13318,amperes,150
L2A,,1600762678033,11029,amperes,122.35221099853516
L2A,,1600762682945,11029,amperes,127.6576919555664
L2A,,1600762684455,11030,amperes,105.58570861816406
L2A,,1600762687261,13318,amperes,117
L2A,,1600762688070,11029,amperes,136.55435180664062
L2A,,1600762689576,11030,amperes,94.80742645263672
L2A,,1600762691486,13318,amperes,134
L2A,,1600762693190,11029,amperes,127.36065673828125
L2A,,1600762694498,11030,amperes,96.52484130859375
L2A,,1600762696696,13318,amperes,144
L2A,,1600762697996,11029,amperes,128.0931854248047
L2A,,1600762699510,11030,amperes,98.22640991210938
L2A,,1600762702012,13318,amperes,132
L2A,,1600762703882,11029,amperes,138.62632751464844
L2A,,1600762704590,11030,amperes,83.83824157714844
L2A,,1600762706494,13318,amperes,136
L2A,,1600762707899,11029,amperes,127.31983184814453
L2A,,1600762709406,11030,amperes,69.64144897460938
L2A,,1600762711497,13318,amperes,141
L2A,,1600762713010,11029,amperes,126.1880874633789
L2A,,1600762714517,11030,amperes,65.24219512939453
L2A,,1600762717526,13318,amperes,142
L2A,,1600762718121,11029,amperes,128.85621643066406
L2A,,1600762719448,11030,amperes,78.10549926757812
L2A,,1600762721964,13318,amperes,145
L2A,,1600762722963,11029,amperes,127.46937561035156
L2A,,1600762724567,11030,amperes,80.26737213134766
L2A,,1600762727656,13318,amperes,146
L2A,,1600762728061,11029,amperes,127.21489715576172
L2A,,1600762729361,11030,amperes,81.39740753173828
L2A,,1600762732263,13318,amperes,148
L2A,,1600762734160,11030,amperes,79.01065063476562
L2A,,1600762736773,13318,amperes,150
L2A,,1600762738216,11029,amperes,126.376708984375
L2A,,1600762740925,11030,amperes,78.61761474609375
L2A,,1600762742029,13318,amperes,151
L2A,,1600762743243,11029,amperes,126.97052001953125
L2A,,1600762744244,11030,amperes,79.05270385742188
L2A,,1600762746543,13318,amperes,148
L2A,,1600762748048,11029,amperes,127.31034851074219
L2A,,1600762749546,11030,amperes,99.3876953125
L2A,,1600762753168,11029,amperes,128.14524841308594
L2A,,1600762754465,11030,amperes,99.75300598144531
L2A,,1600762759272,11030,amperes,103.06365203857422
L2A,,1600762761975,13318,amperes,147
L2A,,1600762764538,11030,amperes,104.33694458007812
L2A,,1600762767032,13318,amperes,146
L2A,,1600762768144,11029,amperes,128.54653930664062
L2A,,1600762769142,11030,amperes,100.919921875
L2A,,1600762772262,13318,amperes,145
L2A,,1600762772958,11029,amperes,128.87832641601562
L2A,,1600762774559,11030,amperes,100.56053161621094
L2A,,1600762776969,13318,amperes,144
L2A,,1600762778077,11029,amperes,129.23529052734375
L2A,,1600762779410,11030,amperes,102.06285095214844
L2A,,1600762782212,13318,amperes,143
L2A,,1600762782918,11029,amperes,129.77597045898438
L2A,,1600762784415,11030,amperes,104.2735595703125
L2A,,1600762788025,11029,amperes,130.6165771484375
L2A,,1600762789533,11030,amperes,118.36100769042969
L2A,,1600762792056,13318,amperes,141
L2A,,1600762793155,11029,amperes,131.9008026123047
L2A,,1600762794669,11030,amperes,119.5474624633789
L2A,,1600762797210,13318,amperes,140
L2A,,1600762797916,11029,amperes,131.40850830078125
L2A,,1600762799220,11030,amperes,117.60206604003906
L2A,,1600762802039,13318,amperes,142
L2A,,1600762803055,11029,amperes,130.6396026611328
L2A,,1600762804556,11030,amperes,120.17948913574219
L2A,,1600762806970,13318,amperes,146
L2A,,1600762808073,11029,amperes,128.87127685546875
L2A,,1600762809574,11030,amperes,86.30769348144531
L2A,,1600762813193,11029,amperes,129.75491333007812
L2A,,1600762814489,11030,amperes,80.3433837890625
L2A,,1600762818005,13318,amperes,143
L2A,,1600762818006,11029,amperes,131.1801300048828
L2A,,1600762819415,11030,amperes,81.88121032714844
L2A,,1600762822524,13318,amperes,140
L2A,,1600762823142,11029,amperes,132.06643676757812
L2A,,1600762824224,11030,amperes,74.34648895263672
L2A,,1600762828057,11029,amperes,131.63575744628906
L2A,,1600762829264,11030,amperes,73.65126037597656
L2A,,1600762833082,11029,amperes,133.50167846679688
L2A,,1600762834401,11030,amperes,75.94116973876953
L2A,,1600762837320,13318,amperes,134
L2A,,1600762837916,11029,amperes,131.0994110107422
L2A,,1600762839513,11030,amperes,63.45268630981445
